time_sec,x_ref,y_ref,z_ref,x_actual,y_actual,z_actual,error_x,error_y,error_z,total_error
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00833,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00393,-0.00000,0.00000,0.00393,0.00393
0.01667,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00762,-0.00000,0.00000,0.00762,0.00762
0.02500,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.01106,-0.00000,0.00000,0.01105,0.01105
0.03333,0.00000,-0.00000,0.00001,0.00000,0.00000,0.01426,-0.00000,0.00000,0.01426,0.01426
0.04167,0.00001,-0.00001,0.00001,0.00000,-0.00000,0.01724,-0.00000,0.00000,0.01723,0.01723
0.05000,0.00001,-0.00001,0.00002,0.00001,-0.00000,0.02001,-0.00001,0.00001,0.01999,0.01999
0.05833,0.00002,-0.00001,0.00003,0.00001,-0.00001,0.02256,-0.00001,0.00001,0.02253,0.02253
0.06667,0.00003,-0.00002,0.00004,0.00002,-0.00001,0.02491,-0.00001,0.00001,0.02486,0.02486
0.07500,0.00004,-0.00003,0.00006,0.00003,-0.00002,0.02706,-0.00001,0.00001,0.02700,0.02700
0.08333,0.00006,-0.00004,0.00009,0.00004,-0.00003,0.02903,-0.00002,0.00001,0.02894,0.02894
0.09167,0.00008,-0.00006,0.00011,0.00006,-0.00004,0.03081,-0.00002,0.00002,0.03070,0.03070
0.10000,0.00010,-0.00007,0.00015,0.00008,-0.00005,0.03242,-0.00002,0.00002,0.03228,0.03228
0.10833,0.00013,-0.00009,0.00019,0.00010,-0.00007,0.03387,-0.00003,0.00002,0.03368,0.03368
0.11667,0.00016,-0.00012,0.00023,0.00012,-0.00009,0.03515,-0.00003,0.00003,0.03491,0.03491
0.12500,0.00019,-0.00014,0.00029,0.00015,-0.00011,0.03628,-0.00004,0.00003,0.03599,0.03599
0.13333,0.00023,-0.00017,0.00035,0.00019,-0.00014,0.03726,-0.00004,0.00004,0.03691,0.03691
0.14167,0.00028,-0.00021,0.00042,0.00023,-0.00017,0.03809,-0.00005,0.00004,0.03768,0.03768
0.15000,0.00033,-0.00025,0.00049,0.00027,-0.00020,0.03879,-0.00006,0.00005,0.03830,0.03830
0.15833,0.00039,-0.00029,0.00058,0.00032,-0.00024,0.03936,-0.00006,0.00005,0.03878,0.03878
0.16667,0.00045,-0.00034,0.00068,0.00038,-0.00028,0.03981,-0.00007,0.00006,0.03913,0.03913
0.17500,0.00052,-0.00039,0.00078,0.00044,-0.00033,0.04014,-0.00008,0.00007,0.03935,0.03935
0.18333,0.00060,-0.00045,0.00090,0.00051,-0.00038,0.04035,-0.00009,0.00007,0.03945,0.03945
0.19167,0.00068,-0.00051,0.00103,0.00058,-0.00043,0.04045,-0.00010,0.00008,0.03943,0.03943
0.20000,0.00078,-0.00058,0.00116,0.00067,-0.00049,0.04045,-0.00011,0.00009,0.03929,0.03929
0.20833,0.00088,-0.00066,0.00131,0.00075,-0.00056,0.04036,-0.00012,0.00010,0.03904,0.03904
0.21667,0.00098,-0.00074,0.00148,0.00085,-0.00063,0.04017,-0.00014,0.00011,0.03869,0.03869
0.22500,0.00110,-0.00083,0.00165,0.00095,-0.00071,0.03988,-0.00015,0.00012,0.03823,0.03823
0.23333,0.00123,-0.00092,0.00184,0.00106,-0.00079,0.03952,-0.00016,0.00013,0.03768,0.03768
0.24167,0.00136,-0.00102,0.00204,0.00118,-0.00088,0.03908,-0.00018,0.00014,0.03703,0.03704
0.25000,0.00150,-0.00113,0.00226,0.00131,-0.00098,0.03856,-0.00019,0.00015,0.03630,0.03630
